                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  8.96% (1.27%) * |  3.35% (0.82%) * |  1.38% (0.31%) * |  1.44% (0.27%) * |  0.70% (0.22%) *
audiology       |     74.77% | 61.50% (5.24%) * | 47.10% (5.64%) * | 29.13% (2.13%) * | 22.53% (2.44%) * | 23.14% (1.36%) *
autos           |     67.35% | 69.50% (8.50%)   | 49.80% (4.38%) * | 35.40% (3.78%) * | 29.39% (2.80%) * | 21.06% (2.67%) *
credit-a        |     44.49% | 20.33% (1.74%) * | 12.63% (1.54%) * | 19.73% (1.54%) * | 19.60% (1.11%) * | 19.45% (1.16%) *
hypothyroid     |      7.71% |  2.79% (0.44%) * |  1.61% (0.24%) * |  0.65% (0.05%) * |  0.75% (0.11%) * |  0.64% (0.06%) *
letter          |     96.26% | 28.89% (0.33%) * | 21.62% (0.37%) * | 16.45% (0.26%) * | 13.38% (0.12%) * | 11.87% (0.13%) *
microarray      |     50.20% | 52.07% (3.63%)   | 51.18% (3.51%)   | 50.45% (2.45%)   | 46.19% (1.97%) * | 48.85% (0.92%) *
vote            |     38.63% | 14.75% (3.61%) * |  5.72% (2.12%) * |  7.19% (1.05%) * |  3.32% (0.77%) * |  5.84% (0.51%) *

